FILE|STATUS|VARNAME|fullName|dataDefinition|Units|Years|geoBoundary|REGION|GROUP|dataProcessingMethod|dataCollectionMethod|rowDef|Source_1|Source_2|License|licenseSource|Tags|DATACHECK|CRITICALERRORS|WARNINGS
metaCROPCONSPC.txt|FAIL| CROPCONSPC| Domestic material consumption of crops per capita|ERROR|ERROR| 2017-2017| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| Environment Live / Global Material Flows Database| |ERROR|ERROR| Economics|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.']"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaINDPMGMTFR.txt|FAIL| INDPMGMTFR| Forest area under an independently verified forest management certification scheme|ERROR|ERROR| 2018-2018| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| United Nations Statistics Division| |ERROR|ERROR| Environment|PASS|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.']"|['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r']
metaSEXVIOLENF.txt|FAIL| SEXVIOLENF| Proportion of young women aged 18-29 years who experienced sexual violence by age 18|ERROR|ERROR| 2016-2016| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| ArcGIS| |ERROR|ERROR| Crime|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.', ""ERROR. More than fifty percent of your data is missing an observation.  We can't accept this dataset right now.""]"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaPRPBDGTTAX.txt|FAIL| PRPBDGTTAX| Proportion of domestic budget funded by domestic taxes|ERROR|ERROR| 2016-2016| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| World Bank | |ERROR|ERROR| Economics|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.', ""ERROR. More than fifty percent of your data is missing an observation.  We can't accept this dataset right now.""]"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaPCHLDABUSE.txt|FAIL| PCHLDABUSE| Proportion of children aged 1–17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month|ERROR|ERROR| 2016-2016| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| ArcGIS| |ERROR|ERROR| nan|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.', ""ERROR. More than fifty percent of your data is missing an observation.  We can't accept this dataset right now.""]"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaFFUELFPTON.txt|FAIL| FFUELFPTON| Material footprint of fossil fuels (tonnes)|ERROR|ERROR| 2017-2017| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| Environment Live / Global Material Flows Database| |ERROR|ERROR| nan|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.']"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaNMETALCPRC.txt|FAIL| NMETALCPRC| Domestic material consumption of non-metallic minerals per capita|ERROR|ERROR| 2017-2017| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| Environment Live / Global Material Flows Database| |ERROR|ERROR| Economics|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.']"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaFFUELMFPPC.txt|FAIL| FFUELMFPPC| The material footprint, the attribution of global material extraction to domestic final demand of a country, for fossil fuel per capita|ERROR|ERROR| Fal-Fal| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| Environment Live Global Material Flows Database	| |ERROR|ERROR| Sustainability|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.']"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaVALSTATCAP.txt|FAIL| VALSTATCAP| Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars|ERROR|ERROR| 2016-2016| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| 2018 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)| |ERROR|ERROR| nan|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.']"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaDEATHREGIS.txt|FAIL| DEATHREGIS| Has the country achieved death registration data that are at least 75 percent complete|ERROR|ERROR| 2016-2016| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations| |ERROR|ERROR| nan|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.']"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
