ID,Value
AFG,
AGO,
ALB,
AND,
ARE,
ARG,
ARM,
ATG,
AUS,
AUT,
AZE,
BDI,
BEL,
BEN,
BFA,
BGD,
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,
CHL,
CHN,
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,
CUB,
CYP,
CZE,
DEU,
DJI,7.09396
DMA,
DNK,
DOM,
DZA,
ECU,
EGY,100
ERI,
ESP,
EST,
ETH,
FIN,
FJI,
FRA,
FSM,
GAB,
GBR,
GEO,
GHA,82.01675
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,
IDN,
IND,
IRL,
IRN,
IRQ,
ISL,
ISR,
ITA,
JAM,
JOR,
JPN,
KAZ,74.64449
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,
LUX,
LVA,
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,
NOR,
NPL,82.08262
NRU,
NZL,
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,
PRK,
PRT,
PRY,
PSE,
QAT,
ROU,
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,
SVN,
SWE,
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,11.56383
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,
URY,
USA,
UZB,36.40487
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
